index_date;industrial_electricity_consumption_(gwh)
2000-01-01;10578.8555692322
2000-02-01;10619.5315459176
2000-03-01;10803.3123385128
2000-04-01;10770.6783966079
2000-05-01;10793.048228372
2000-06-01;11059.2755604009
2000-07-01;11092.7938458706
2000-08-01;11076.9404096006
2000-09-01;11065.9510434769
2000-10-01;11167.9938365795
2000-11-01;11200.3087908458
2000-12-01;11042.8214511525
2001-01-01;10968.7363628282
2001-02-01;11096.3305189135
2001-03-01;10933.0911730266
2001-04-01;11146.6188700072
2001-05-01;11264.3294625656
2001-06-01;10517.7731012496
2001-07-01;9209.30219692978
2001-08-01;9320.00304100306
2001-09-01;9550.38294874918
2001-10-01;9373.0806827687
2001-11-01;9464.27973936171
2001-12-01;9664.01711223415
2002-01-01;9948.43446905264
2002-02-01;10179.5246743559
2002-03-01;10426.5876269625
2002-04-01;10622.5855103227
2002-05-01;10860.44188826
2002-06-01;10782.0795543155
2002-07-01;10733.585663731
2002-08-01;10815.3104570883
2002-09-01;10841.5735640472
2002-10-01;10802.800277982
2002-11-01;10826.4441859902
2002-12-01;10751.4731259944
2003-01-01;10828.5270784158
2003-02-01;10768.1232964517
2003-03-01;10629.009491762
2003-04-01;10742.2191619905
2003-05-01;10708.5346995441
2003-06-01;10719.0222126567
2003-07-01;10815.1874449277
2003-08-01;10563.8860858644
2003-09-01;10791.7174446171
2003-10-01;11024.100840284
2003-11-01;11037.8157558936
2003-12-01;11563.6653870054
2004-01-01;10823.2334142643
2004-02-01;10852.0846957996
2004-03-01;10852.3080001842
2004-04-01;10844.3688805847
2004-05-01;11986.2679761585
2004-06-01;12257.1327693022
2004-07-01;12400.5730239213
2004-08-01;12437.5008899312
2004-09-01;12537.4147942708
2004-10-01;12494.689532834
2004-11-01;12330.3480617423
2004-12-01;12445.8991924886
2005-01-01;12518.3369926391
2005-02-01;12422.5651033074
2005-03-01;12300.1923687412
2005-04-01;12511.5156738431
2005-05-01;12584.8630577552
2005-06-01;12633.4336037722
2005-07-01;12642.710196878
2005-08-01;12504.9395425636
2005-09-01;12540.2162326325
2005-10-01;12468.9433170371
2005-11-01;12477.2981340133
2005-12-01;12567.7978466442
2006-01-01;15192.5403617489
2006-02-01;14305.1474760248
2006-03-01;14057.0832254949
2006-04-01;13353.8070775703
2006-05-01;13890.1326337374
2006-06-01;13207.5254107316
2006-07-01;13016.9075174873
2006-08-01;13377.7845440988
2006-09-01;13189.8951639189
2006-10-01;13270.5001692803
2006-11-01;13888.2441483666
2006-12-01;13774.3729029765
2007-01-01;14053.0861902828
2007-02-01;14197.9880648846
2007-03-01;14519.3650954956
2007-04-01;14519.8711822629
2007-05-01;14693.7500535293
2007-06-01;14747.1345658733
2007-07-01;14596.8911916518
2007-08-01;14611.2935016411
2007-09-01;14765.5658460468
2007-10-01;14819.8103689217
2007-11-01;14915.1843080725
2007-12-01;14905.5337121879
2008-01-01;14844.8792717566
2008-02-01;14925.3602963461
2008-03-01;14915.5041575969
2008-04-01;14847.4307726542
